word	rank	source_rank	zipf	score
брайан	8347	8502	4.06	0.437143
гитлер	8355	8510	4.06	0.437143
давид	8359	8514	4.06	0.437143
джеймса	8361	8516	4.06	0.437143
джексон	8362	8517	4.06	0.437143
екатерины	8371	8526	4.06	0.437143
кирова	8401	8556	4.06	0.437143
красноярск	8405	8560	4.06	0.437143
монако	8417	8572	4.06	0.437143
симферополь	8481	8636	4.06	0.437143
антонио	8523	8681	4.05	0.435714
барселона	8526	8684	4.05	0.435714
браун	8528	8686	4.05	0.435714
герман	8546	8704	4.05	0.435714
гитлера	8547	8705	4.05	0.435714
джонсон	8558	8716	4.05	0.435714
елены	8560	8718	4.05	0.435714
керри	8575	8733	4.05	0.435714
ксения	8580	8738	4.05	0.435714
меркель	8596	8754	4.05	0.435714
саратов	8663	8822	4.05	0.435714
чехова	8703	8862	4.05	0.435714
шотландии	8705	8864	4.05	0.435714
яценюк	8711	8870	4.05	0.435714
джонатан	8739	8901	4.04	0.434286
мексике	8771	8933	4.04	0.434286
милан	8774	8936	4.04	0.434286
новгорода	8783	8945	4.04	0.434286
ростова	8837	8999	4.04	0.434286
смирнов	8844	9006	4.04	0.434286
эдуард	8885	9047	4.04	0.434286
энтони	8890	9052	4.04	0.434286
бразилия	8898	9065	4.03	0.432857
дэвида	8923	9090	4.03	0.432857
екатеринбурга	8925	9092	4.03	0.432857
кевин	8938	9106	4.03	0.432857
кубань	8947	9115	4.03	0.432857
торонто	9061	9231	4.03	0.432857
алтай	9081	9255	4.02	0.431429
афганистане	9085	9259	4.02	0.431429
билли	9086	9260	4.02	0.431429
васильева	9089	9263	4.02	0.431429
дании	9113	9287	4.02	0.431429
джорджа	9116	9290	4.02	0.431429
анджелесе	9272	9448	4.01	0.43
владивостоке	9286	9462	4.01	0.43
владимиром	9287	9463	4.01	0.43
карелии	9332	9508	4.01	0.43
литве	9343	9519	4.01	0.43
наташа	9358	9534	4.01	0.43
стэнли	9442	9618	4.01	0.43
томск	9449	9625	4.01	0.43
урале	9454	9630	4.01	0.43
харькова	9461	9637	4.01	0.43
дарья	9502	9682	4.0	0.428571
иосиф	9523	9703	4.0	0.428571
лариса	9535	9715	4.0	0.428571
одессы	9559	9739	4.0	0.428571
руслан	9614	9794	4.0	0.428571
сергеевич	9618	9798	4.0	0.428571
стефан	9632	9812	4.0	0.428571
украинским	9644	9825	4.0	0.428571
франциско	9653	9834	4.0	0.428571
швейцария	9658	9839	4.0	0.428571
якутии	9661	9842	4.0	0.428571
антона	9663	9849	3.99	0.427143
атлетико	9665	9851	3.99	0.427143
георгия	9687	9873	3.99	0.427143
грузия	9693	9879	3.99	0.427143
елизавета	9707	9893	3.99	0.427143
ивановна	9713	9899	3.99	0.427143
михайлов	9743	9929	3.99	0.427143
николаев	9756	9942	3.99	0.427143
попова	9792	9978	3.99	0.427143
ираке	9930	10120	3.98	0.425714
лидия	9947	10137	3.98	0.425714
робин	10007	10198	3.98	0.425714
тейлор	10032	10223	3.98	0.425714
тимошенко	10033	10224	3.98	0.425714
челябинске	10053	10244	3.98	0.425714
анджелес	10063	10257	3.97	0.424286
аравии	10065	10259	3.97	0.424286
голландии	10092	10286	3.97	0.424286
дерби	10098	10292	3.97	0.424286
джастин	10100	10294	3.97	0.424286
ленинграде	10130	10324	3.97	0.424286
осетии	10163	10357	3.97	0.424286
польшу	10182	10376	3.97	0.424286
дженнифер	10291	10492	3.96	0.422857
индонезии	10314	10515	3.96	0.422857
ирландии	10315	10516	3.96	0.422857
кеннеди	10320	10521	3.96	0.422857
львове	10332	10533	3.96	0.422857
минска	10338	10539	3.96	0.422857
нигерии	10348	10549	3.96	0.422857
обамы	10352	10553	3.96	0.422857
ольги	10361	10562	3.96	0.422857
собянин	10434	10636	3.96	0.422857
софия	10440	10642	3.96	0.422857
стюарт	10446	10648	3.96	0.422857
януковича	10471	10674	3.96	0.422857
артем	10474	10680	3.95	0.421429
вашингтона	10487	10693	3.95	0.421429
владимирович	10494	10700	3.95	0.421429
даниил	10510	10716	3.95	0.421429
джимми	10516	10722	3.95	0.421429
дональд	10520	10726	3.95	0.421429
италию	10550	10756	3.95	0.421429
красноярске	10557	10763	3.95	0.421429
тольятти	10683	10889	3.95	0.421429
турцию	10686	10892	3.95	0.421429
феликс	10694	10900	3.95	0.421429
англию	10716	10925	3.94	0.42
ивановича	10764	10973	3.94	0.42
иркутске	10766	10975	3.94	0.42
келли	10772	10981	3.94	0.42
колорадо	10778	10987	3.94	0.42
малайзии	10785	10994	3.94	0.42
оксана	10807	11016	3.94	0.42
роберта	10872	11081	3.94	0.42
самара	10876	11085	3.94	0.42
семен	10879	11088	3.94	0.42
таиланде	10902	11111	3.94	0.42
татарстан	10903	11112	3.94	0.42
тюмень	10913	11122	3.94	0.42
астрахани	10942	11157	3.93	0.418571
афганистана	10944	11159	3.93	0.418571
болгария	10953	11168	3.93	0.418571
волгограде	10965	11180	3.93	0.418571
днепра	10975	11190	3.93	0.418571
ильич	10996	11211	3.93	0.418571
кавказе	11001	11216	3.93	0.418571
краснодаре	11011	11226	3.93	0.418571
кристиан	11013	11228	3.93	0.418571
леонида	11014	11229	3.93	0.418571
ливии	11016	11231	3.93	0.418571
минфин	11025	11240	3.93	0.418571
петербургской	11057	11272	3.93	0.418571
подмосковья	11063	11278	3.93	0.418571
финляндия	11148	11363	3.93	0.418571
франко	11149	11364	3.93	0.418571
черногории	11156	11371	3.93	0.418571
бурятии	11175	11396	3.92	0.417143
даниэль	11198	11419	3.92	0.417143
джерри	11203	11424	3.92	0.417143
запорожье	11208	11429	3.92	0.417143
иране	11221	11442	3.92	0.417143
кавказ	11224	11445	3.92	0.417143
карло	11225	11446	3.92	0.417143
колумбии	11230	11451	3.92	0.417143
настя	11258	11479	3.92	0.417143
николас	11261	11482	3.92	0.417143
новосибирска	11262	11483	3.92	0.417143
норвегия	11263	11484	3.92	0.417143
павлович	11276	11497	3.92	0.417143
петрова	11280	11501	3.92	0.417143
райан	11311	11532	3.92	0.417143
симферополе	11325	11546	3.92	0.417143
ярославль	11384	11606	3.92	0.417143
арсений	11388	11612	3.91	0.415714
гоголя	11423	11647	3.91	0.415714
гордон	11425	11649	3.91	0.415714
ломоносова	11478	11702	3.91	0.415714
луганск	11479	11703	3.91	0.415714
себастьян	11572	11797	3.91	0.415714
таиланд	11598	11824	3.91	0.415714
хабаровск	11615	11841	3.91	0.415714
яндекс	11630	11856	3.91	0.415714
алена	11635	11864	3.9	0.414286
волгоград	11656	11885	3.9	0.414286
вьетнам	11662	11891	3.9	0.414286
дагестана	11670	11899	3.9	0.414286
дэвис	11680	11909	3.9	0.414286
интер	11700	11929	3.9	0.414286
иоанна	11702	11931	3.9	0.414286
ирака	11703	11932	3.9	0.414286
киров	11713	11942	3.9	0.414286
мексики	11728	11957	3.9	0.414286
узбекистан	11829	12058	3.9	0.414286
янукович	11852	12081	3.9	0.414286
ярослав	11853	12082	3.9	0.414286
австралия	11855	12092	3.89	0.412857
барселоне	11864	12101	3.89	0.412857
барселоны	11865	12102	3.89	0.412857
госдума	11899	12136	3.89	0.412857
госдуме	11900	12137	3.89	0.412857
литва	11940	12177	3.89	0.412857
луганске	11942	12179	3.89	0.412857
маргарет	11944	12181	3.89	0.412857
маркса	11945	12182	3.89	0.412857
мартина	11946	12183	3.89	0.412857
нидерланды	11961	12198	3.89	0.412857
полина	11995	12232	3.89	0.412857
роджер	12038	12275	3.89	0.412857
японию	12106	12343	3.89	0.412857
алексеевич	12110	12348	3.88	0.411429
армения	12114	12352	3.88	0.411429
башкирии	12118	12356	3.88	0.411429
женеве	12165	12403	3.88	0.411429
кастро	12188	12426	3.88	0.411429
кэмерон	12195	12433	3.88	0.411429
марсель	12200	12438	3.88	0.411429
тамара	12314	12555	3.88	0.411429
терри	12316	12557	3.88	0.411429
алексеев	12355	12599	3.87	0.41
байкал	12359	12603	3.87	0.41
венесуэлы	12372	12616	3.87	0.41
владимиру	12376	12620	3.87	0.41
латвия	12445	12689	3.87	0.41
луиза	12450	12694	3.87	0.41
омске	12483	12728	3.87	0.41
саакашвили	12536	12781	3.87	0.41
самаре	12537	12782	3.87	0.41
чечне	12589	12834	3.87	0.41
швеция	12593	12838	3.87	0.41
